,Private_Key,Hybrid,Geom1,Geom2,length,k_Value,Hybrid_Perc,NonHyb_Cell_Count,Hyb_Cell_Count,TotalAtom,DimLow,DimHigh,Volume,Density,Norm_Density,Max_Stress,Norm_Stress,Strain_At_Max_Stress,Strain_At_SSR,Stress_At_SSR,Young_Modulus,Norm_Young_Modulus,Elastic_Strain_Energy,Strain_Energy,Folder,Geom_File,Stress_File,max_stress_geom1,max_stress_geom2,max_young_geom1,max_young_geom2,el_strainEn_geom1,el_strainEn_geom2,strainEn_geom1,strainEn_geom2,density_geom1,density_geom2,norm_stress_geom1,norm_stress_geom2,norm_young_geom1,norm_young_geom2,norm_elEn_geom1,norm_elEn_geom2,norm_Ener_geom1,norm_Ener_geom2,norm_dens_stress_geom1,norm_dens_stress_geom2,norm_dens_young_geom1,norm_dens_young_geom2,norm_dens_elEn_geom1,norm_dens_elEn_geom2,norm_dens_Ener_geom1,norm_dens_Ener_geom2
1,1,True,SchwarzD,SchwarzP,30,0.0,50,2,1,11368.0,-30.0,30.0,216000.0,1049.6840039941915,0.45638434956269197,7.996898824934654,0.06151460634565118,0.11600000000000046,0.050000000000000065,4.628075524896704,92.56151049793395,0.09074657891954309,0.5448355445720765,1.1805266321321066,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,1.0,1.150744311077095,1.0,2.1168081813038726,1.0,1.0674595418538455,1.0,1.2172672743582125,1.0,0.662427055919116,1.0,1.2185426406098296,1.0,0.6144840993922911,1.0,0.7007210629310471
2,2,True,SchwarzD,SchwarzP,30,0.1,50,2,1,10224.0,-30.0,30.0,216000.0,944.0507791024467,0.4104568604793246,6.496115357243355,0.0499701181326412,0.21724999999999958,0.049999999999999996,1.9485532805710453,38.97106561142091,0.038206927070020505,0.7931433660883086,1.2293933889770974,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.812329316583099,0.9347833397791457,0.42102884235333193,0.8912372980584313,1.455748205105189,1.553952312076143,1.0413940317100125,1.2676548745125569,0.9032237549801125,0.5983198528476849,0.4681392683756531,0.570447660259622,1.6186370887750186,0.9946267537388772,1.157919341987424,0.8113784721058463
3,3,True,SchwarzD,SchwarzP,30,0.2,50,2,1,9196.0,-30.0,30.0,216000.0,849.1286154759487,0.3691863545547603,5.705678193380953,0.04388983225677656,0.2063999999999999,0.05000000000000009,1.3662021154767432,27.324042309534814,0.02678827677405374,0.6206970834943892,1.0921202689552911,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.7134863549342925,0.82104036397177,0.29519875121468236,0.6248791316819261,1.139237499605309,1.2160899393914033,0.9251127752898315,1.1261095064510147,0.8820044457256456,0.5842636082896112,0.36492164025755863,0.4446725791351158,1.4083136032528438,0.8653863161567361,1.1436148357432367,0.8013550032857157
4,4,True,SchwarzD,SchwarzP,30,0.3,50,2,1,9122.0,-30.0,30.0,216000.0,842.2956970826016,0.36621552047069633,6.676538306572876,0.05135798697363751,0.2882500000000006,0.049999999999999926,1.6879138732936765,33.758277465873576,0.0330963504567388,1.1913319763370582,1.9414529274059928,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.8348909311888704,0.9607459894354509,0.36471182551225856,0.7720249760626193,2.1865900420882993,2.3340964045497565,1.6445651242103743,2.0018753062521375,1.0404560519354393,0.6892262392968199,0.45451041793722374,0.5538403248579019,2.7249677262069487,1.6744493391113362,2.0494865525129944,1.4361183955397927
5,5,True,SchwarzD,SchwarzP,30,0.4,50,2,1,9288.0,-30.0,30.0,216000.0,857.62359510011,0.3728798239565696,5.9630145018369625,0.04586934232182279,0.2074499999999995,0.05000000000000012,1.738383892903022,34.76767785806035,0.03408595868437289,0.7011358088779611,1.3853106415401726,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.7456658677791499,0.858070755311222,0.3756170104725808,0.7951091608052613,1.2868760415193645,1.373688109702951,1.1734683520338824,1.4284246224259074,0.9126539174110008,0.6045666475836172,0.4597345149711776,0.560206109852458,1.575065335916466,0.9678526044246459,1.4362605755729085,1.006418037161406
6,6,True,SchwarzD,SchwarzP,30,0.5,50,2,1,9533.0,-30.0,30.0,216000.0,880.2460951861917,0.3827156935592138,6.090151992415025,0.046847323018577115,0.24390000000000003,0.05000000000000013,1.909288707382216,38.185774147644224,0.037437033478082575,0.9501907191783857,1.390525293554197,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.7615642170469489,0.8763656902866584,0.41254484658065904,0.8732783063966899,1.743995465502682,1.8616446006006766,1.177885577255313,1.4338015661314245,0.9081571403954385,0.6015878608240736,0.4919552938140074,0.599468502786105,2.0796958409560986,1.2779400258398015,1.4046158861049405,0.9842439367212884
7,7,True,SchwarzD,SchwarzP,30,0.6,50,2,1,9744.0,-30.0,30.0,216000.0,899.7291462807356,0.3911865853394502,5.531301344407121,0.042548471880054776,0.18339999999999942,0.04999999999999993,1.65533286823483,33.106657364696645,0.03245750722029083,0.5673946197516669,0.9354918030595131,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.6916807959555896,0.7959477410271717,0.3576719652326289,0.757122942227463,1.0414052926692012,1.1116580165968353,0.7924360006770496,0.9646064106474747,0.8069609286148545,0.534552752184094,0.417283959438067,0.5084782978177872,1.2149728414474013,0.7465814922628993,0.9245086674565578,0.6478226961491251
8,8,True,SchwarzD,SchwarzP,30,0.7,50,2,1,9656.0,-30.0,30.0,216000.0,891.6035135967551,0.3876537015638066,7.387007829364644,0.0568231371489588,0.2176500000000003,0.04999999999999998,2.055782575258814,41.115651505176295,0.04030946225997676,0.9397793498141263,1.6857488762308181,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.92373406130032,1.0629817159894837,0.44419814763172033,0.9402822730268509,1.724886269217706,1.8412463066891211,1.4279634447435106,1.738213170266097,1.0875112685234092,0.720396887886825,0.5229540743866402,0.6372418387207657,2.030707032774118,1.2478371821637957,1.6811400621213992,1.1780102512656732
9,9,True,SchwarzD,SchwarzP,30,0.8,50,2,1,9636.0,-30.0,30.0,216000.0,889.7567788958506,0.3868507734329785,6.970256899189442,0.05361736076299571,0.18235000000000026,0.05000000000000005,2.126900970725252,42.538019414505,0.041703940602455886,0.7207681536932596,1.1153804004327337,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.8716199931723406,1.0030117485641274,0.45956487945877333,0.9728106966782594,1.3229095657834948,1.4121524390053188,0.9448159576190884,1.150093545501132,1.0282872646723917,0.6811653053760534,0.5421682803743602,0.6606551680222634,1.5606928127674105,0.9590209174814038,1.1146396644057488,0.781051490427502
10,10,True,SchwarzD,SchwarzP,30,0.9,50,2,1,9925.0,-30.0,30.0,216000.0,916.4420953239224,0.39845308492344456,6.294951000727368,0.048422700005595135,0.17315000000000041,0.04999999999999991,1.6381666344657069,32.7633326893142,0.032120914401288427,0.5363500726816672,1.1600663592663747,0,0,0,7.996898824934654,6.949327272754074,92.56151049793395,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565367,1049.6840039941915,604.2515941359949,0.7871740206465356,0.9058360260866846,0.3539628136259239,0.7492713797606936,0.9844256271916438,1.0508345289911765,0.982668520718775,1.19617023181296,0.901621588585372,0.5972585344797243,0.4054256186699751,0.4940284039449853,1.1275516906714969,0.6928625851605299,1.1255391177361243,0.7886889669505299
